City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,ta`u,-14.2336,-169.5144,27.95,73,17,4.04,AS,1683855606
115,dzilam gonzalez,21.2833,-88.9333,29.62,55,85,5.32,MX,1683855607
116,east london,-33.0153,27.9116,18.34,82,100,5.98,ZA,1683855607
117,punta del este,-34.9667,-54.95,15.49,76,75,2.24,UY,1683855318
118,kitimat,54.0524,-128.6534,19.21,57,100,0.45,CA,1683855608
119,boda,4.3189,17.4695,21.46,92,36,0.4,CF,1683855608
120,ariquemes,-9.9133,-63.0408,22.36,89,99,0.73,BR,1683855351
121,lihue,21.9789,-159.3672,26.77,68,20,5.14,US,1683855589
122,naxos,37.1056,25.3764,16.28,77,100,8.05,GR,1683855608
123,port saint john's,-31.6229,29.5448,20.44,75,100,4.75,ZA,1683855139
124,asau,46.4333,26.4,7.51,88,68,0.43,RO,1683855609
125,chernyshevskiy,63.0128,112.4714,2.81,71,100,4.48,RU,1683855609
126,nar'yan-mar,67.6713,53.087,0.5,98,100,3.22,RU,1683855610
127,minas de marcona,-15.2119,-75.1103,14.37,86,44,3.72,PE,1683855610
128,alice springs,-23.7,133.8833,17.75,32,0,4.63,AU,1683855610
129,lomonosov,59.9061,29.7725,7.95,78,11,3.51,RU,1683855611
130,dudinka,69.4058,86.1778,-14.1,94,80,6.37,RU,1683855611
131,port alfred,-33.5906,26.891,16.21,97,100,0.89,ZA,1683855611
132,general acha,-37.377,-64.6043,13.12,61,96,5.33,AR,1683855611
133,utrik,11.2278,169.8474,27.39,79,73,7.66,MH,1683855612
134,bandon,51.7469,-8.7425,10.77,96,0,4.97,IE,1683855612
135,vilyuysk,63.7553,121.6247,5.71,39,2,2.34,RU,1683855612
136,yaren,-0.5472,166.916,28.77,76,100,5.06,NR,1683855612
137,poteau,35.0537,-94.6236,26.86,73,40,2.57,US,1683855613
138,thompson,55.7435,-97.8558,18.09,39,40,2.57,CA,1683855613
139,lebu,-37.6167,-73.65,12.45,94,100,2.1,CL,1683855613
140,giyani,-23.3025,30.7187,17.97,55,0,2.51,ZA,1683855614
141,konjic,43.6519,17.9614,12.47,98,100,1.0,BA,1683855614
142,geraldton,-28.7667,114.6,18.23,45,40,9.26,AU,1683855614
143,mel'nikovo,56.5558,84.085,2.64,94,100,3.96,RU,1683855615
144,wailua homesteads,22.0669,-159.378,26.44,68,20,5.14,US,1683855615
145,georgetown,5.4112,100.3354,30.96,79,20,2.06,MY,1683855416
146,ghat,24.9647,10.1728,22.86,23,100,2.73,LY,1683855615
147,labytnangi,66.6572,66.4183,-8.93,95,99,1.79,RU,1683855615
148,susuman,62.7833,148.1667,4.89,70,100,1.4,RU,1683855616
149,sayaxche,16.5167,-90.1667,24.34,85,100,2.39,GT,1683855616
150,sovetskiy,61.3614,63.5842,4.11,48,25,3.05,RU,1683855616
151,praia da vitoria,38.7333,-27.0667,17.14,94,75,3.58,PT,1683855617
152,iskateley,67.6803,53.1512,0.45,97,100,3.29,RU,1683855617
153,guerrero negro,27.9769,-114.0611,15.31,76,64,9.86,MX,1683855452
154,fisterra,42.9049,-9.2629,12.08,81,50,6.72,ES,1683855618
155,katsuren-haebaru,26.3369,127.8719,24.43,60,40,4.63,JP,1683855618
156,cannonvale,-20.2833,148.7,21.66,66,20,8.51,AU,1683855618
157,sinabang,2.4803,96.3801,28.76,82,25,3.9,ID,1683855619
158,wau,7.7029,27.9953,24.89,68,19,1.9,SS,1683855619
159,havelock,34.8791,-76.9013,21.97,77,0,2.06,US,1683855619
160,manicore,-5.8092,-61.3003,22.58,99,100,0.53,BR,1683855620
161,coihueco,-36.6167,-71.8333,13.74,56,25,1.93,CL,1683855620
162,fort bragg,35.139,-79.006,23.32,65,0,3.6,US,1683855106
163,hermanus,-34.4187,19.2345,8.78,77,88,6.94,ZA,1683855620
164,vilyuchinsk,52.9306,158.4028,7.15,86,100,0.91,RU,1683855620
165,ad dabbah,18.05,30.95,30.59,16,21,1.78,SD,1683855621
166,awjilah,29.1081,21.2869,20.53,46,0,3.01,LY,1683855621
167,hamilton,39.1834,-84.5333,22.7,67,0,3.09,US,1683855140
168,kone,-21.0595,164.8658,25.65,60,100,3.28,NC,1683855622
169,kimbe,-5.5502,150.1429,31.1,66,71,2.45,PG,1683855622
170,khandyga,62.6667,135.6,3.89,71,100,1.58,RU,1683855622
171,muisne,0.6,-80.0333,26.57,88,25,0.7,EC,1683855622
172,uturoa,-16.7333,-151.4333,25.56,85,100,6.67,PF,1683855623
173,fale old settlement,-9.3852,-171.2468,28.77,76,29,6.07,TK,1683855623
174,guapiacu,-20.795,-49.2203,22.16,73,0,0.0,BR,1683855623
175,port elizabeth,-33.918,25.5701,16.17,93,20,9.26,ZA,1683855624
176,midvagur,62.0511,-7.1939,8.46,93,75,0.51,FO,1683855624
177,arawa,-6.2132,155.5367,31.3,65,95,2.19,PG,1683855624
178,malabar,-33.9667,151.25,21.53,62,20,3.09,AU,1683855624
179,dom pedrito,-30.9828,-54.6731,8.62,87,0,2.02,BR,1683855625
180,santa ana,33.7456,-117.8678,23.09,69,20,5.66,US,1683855612
181,salair,54.2312,85.7972,7.53,76,92,3.86,RU,1683855626
182,kolokani,13.5728,-8.0339,32.59,16,98,0.55,ML,1683855626
183,corfu,39.62,19.9197,16.01,100,40,0.0,GR,1683855512
184,vostochnyy,55.8167,37.8667,10.1,80,38,2.2,RU,1683855626
185,zhalantun,48.0,122.7167,21.36,32,100,7.82,CN,1683855627
186,lasem,-6.6922,111.4527,28.87,76,26,3.75,ID,1683855627
187,bredasdorp,-34.5322,20.0403,11.08,81,82,3.32,ZA,1683855627
188,touros,-5.1989,-35.4608,26.79,74,98,4.16,BR,1683855628
189,tariba,7.8188,-72.2243,24.31,85,59,1.52,VE,1683855628
190,yangliuqing,39.1375,116.9997,22.97,30,0,5.11,CN,1683855628
191,george town,5.4112,100.3354,30.96,79,20,2.06,MY,1683855416
